Location,Species,Site,Net Photosynthesis,Respiration,Gross Photosynthesis,Pg:R ratio,Symbiodinaceae density,Chlorophyll concentration,Surface area
Ambitle,Porites cylindrica,Vents,1.486143953,-1.024915915,2.511059868,2.45001549,4505006.171,71.61656236,2.739
Ambitle,Porites cylindrica,Vents,1.280622885,-0.507763264,1.788386149,3.522086523,3631892.976,60.80379144,5.479
Ambitle,Porites cylindrica,Vents,1.158077212,-0.811632859,1.969710071,2.426848604,4382444.916,67.94959224,5.343
Ambitle,Porites cylindrica,Vents,1.279071213,-0.862467999,2.141539212,2.483036141,4702955.359,74.78709961,4.03
Ambitle,Porites cylindrica,Vents,1.468847142,-1.096434036,2.565281178,2.339658469,3967825.524,67.58548013,4.909
Ambitle,Heliopora coerulea,Vents,0.665725649,-0.397750286,1.063475935,2.673727644,1446490.869,13.29050223,24.792
Ambitle,Heliopora coerulea,Vents,0.7243339,-0.645162962,1.369496862,2.122714636,1450138.413,13.19244987,8.544
Ambitle,Heliopora coerulea,Vents,0.796178058,-0.436863292,1.23304135,2.822487887,1252018.031,10.3852737,2.432
Ambitle,Heliopora coerulea,Vents,0.97291726,-0.812165944,1.785083204,2.197929151,1325262.975,11.24214579,5.685
Ambitle,Heliopora coerulea,Vents,0.478525438,-1.098516,1.577041438,1.435610804,254469.5511,5.360622129,5.885
